,id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId,exchangeHomePercent,exchangeAwayPercent,spread,kellyProportionHome,kellyProportionAway,betSize,winnings,return,betTeam
108,267,17,13,5.0,1.0,1.0,2017-05-08,Texas Rangers,San Diego Padres,0.51,0.49,0.71,2,1.25,1.0,0.5847953216374269,0.4444444444444444,0.029239766081871288,0.0,0.08200000000000003,15.0,-15.0,-0.014803849000740192,away
109,273,6,10,5.0,3.0,1.0,2017-05-09,New York Yankees,Cincinnati Reds,0.47,0.53,0.95,2,0.91,1.0,0.5128205128205129,0.5235602094240838,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
110,274,11,2,5.0,6.0,0.0,2017-05-09,St. Louis Cardinals,Miami Marlins,0.56,0.44,0.91,2,0.95,1.0,0.5235602094240838,0.5128205128205129,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
111,287,22,1,3.0,0.0,1.0,2017-05-10,Chicago Cubs,Colorado Rockies,0.39,0.61,1.15,2,0.75,1.0,0.46511627906976744,0.5714285714285714,0.03654485049833878,0.0,0.0,0.0,0.0,0.0,
112,288,23,27,3.0,1.0,1.0,2017-05-10,Los Angeles Angels,Oakland Athletics,0.54,0.46,0.67,2,1.35,1.0,0.5988023952095809,0.425531914893617,0.024334310103197865,0.0,0.0,0.0,0.0,0.0,
113,289,11,2,5.0,7.0,0.0,2017-05-10,St. Louis Cardinals,Miami Marlins,0.48,0.52,0.95,2,0.91,1.0,0.5128205128205129,0.5235602094240838,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
114,295,8,29,7.0,1.0,1.0,2017-05-10,Detroit Tigers,Arizona Diamondbacks,0.5,0.5,0.74,2,1.2,1.0,0.5747126436781609,0.45454545454545453,0.02925809822361547,0.0,0.08333333333333331,15.0,-15.0,-0.015026296018031555,away
115,297,10,4,2.0,3.0,0.0,2017-05-11,Houston Astros,New York Yankees,0.62,0.38,0.87,2,1.05,1.0,0.53475935828877,0.48780487804878053,0.022564236337550447,0.18321839080459768,0.0,35.0,-35.0,-0.03559623696923468,home
116,301,22,16,10.0,7.0,0.0,2017-05-11,Los Angeles Dodgers,Colorado Rockies,0.5,0.5,1.0,2,0.85,1.0,0.5,0.5405405405405405,0.04054054054054035,0.0,0.0,0.0,0.0,0.0,
117,308,7,28,0.0,1.0,0.0,2017-05-12,Minnesota Twins,Cleveland Indians,0.55,0.45,0.69,2,1.3,1.0,0.591715976331361,0.4347826086956522,0.02649858502701319,0.0,0.0,0.0,0.0,0.0,
118,310,13,23,5.0,2.0,1.0,2017-05-12,Oakland Athletics,Texas Rangers,0.55,0.45,0.91,2,1.0,1.0,0.5235602094240838,0.5,0.023560209424083656,0.0,0.0,0.0,0.0,0.0,
