"id","awayPrice","homePrice","exchangeId","gameId"
1581,1.60,0.55,2,3664
1582,1.10,0.76,2,3654
1583,0.76,1.10,2,3667
1584,0.90,0.90,2,3668
1585,1.00,0.83,2,3669
1586,1.15,0.74,2,3671
1587,1.45,0.60,2,3672
1588,1.45,0.60,2,3673
1589,0.74,1.15,2,3674
1590,0.86,0.95,2,3675
1591,1.20,0.71,2,3676
1592,1.00,0.83,2,3678
1593,0.76,1.10,2,3679
1594,1.25,0.68,2,3677
1595,0.80,1.05,2,3680
1596,1.15,0.74,2,3682
1597,1.35,0.64,2,3681
1598,1.60,0.55,2,3683
1599,0.71,1.20,2,3684
1600,0.74,1.15,2,3685
1601,0.86,0.95,2,3686
1602,0.83,1.00,2,3687
1603,0.40,2.10,2,3688
1604,1.15,0.74,2,3689
1606,1.30,0.66,2,3691
1607,1.40,0.62,2,3692
1608,1.10,0.76,2,3694
1609,0.76,1.10,2,3693
1610,1.05,0.80,2,3697
1611,0.83,1.00,2,3698
1612,1.50,0.58,2,3699
1613,0.76,1.10,2,3696
1614,0.58,1.50,2,3700
1615,1.20,0.71,2,3701
1616,0.66,1.30,2,3695
1617,0.95,0.86,2,3702
1618,0.71,1.20,2,3703
1619,1.00,0.83,2,3704
1620,0.64,1.35,2,3706
1621,1.40,0.62,2,3705
1622,1.00,0.83,2,3707
1623,0.76,1.10,2,3708
1624,0.95,0.86,2,3709
1625,1.95,0.42,2,3710
1627,1.55,0.57,2,3712
1628,0.76,1.10,2,3715
1629,0.76,1.10,2,3714
1630,0.90,0.90,2,3713
1631,0.62,1.40,2,3717
1632,0.95,0.86,2,3716
1633,1.45,0.60,2,3719
1634,0.90,0.90,2,3718
1635,0.60,1.45,2,3720
1636,1.05,0.80,2,3721
1638,0.95,0.86,2,3724
1639,0.76,1.10,2,3725
1640,1.10,0.76,2,3723
1641,1.70,0.50,2,3726
1642,0.54,1.65,2,3727
1643,0.95,0.86,2,3728
1644,1.05,0.80,2,3729
1645,0.60,1.45,2,3732
1646,1.05,0.80,2,3733
1647,0.95,0.86,2,3730
1648,0.83,1.00,2,3731
1649,0.62,1.40,2,3735
1650,1.30,0.66,2,3734
1651,1.75,0.47,2,3736
1652,1.45,0.60,2,3737
1653,0.90,0.90,2,3738
1654,0.95,0.86,2,3739
1655,1.00,0.83,2,3740
1656,0.57,1.55,2,3741
1657,1.35,0.64,2,3743
1658,0.86,0.95,2,3742
1659,0.76,1.10,2,3744
1660,0.76,1.10,2,3745
1661,1.85,0.44,2,3746
1662,0.80,1.05,2,3747
1663,0.90,0.90,2,3748
1664,0.66,1.30,2,3750
1665,1.20,0.71,2,3749
1666,2.55,0.31,2,3751
1667,0.68,1.25,2,3752
1668,2.15,0.38,2,3753
1669,0.62,1.40,2,3754
1670,1.30,0.66,2,3756
1671,0.83,1.00,2,3755
1672,1.00,0.83,2,3757
1673,1.00,0.83,2,3758
1674,1.75,0.47,2,3759
1675,0.74,1.15,2,3760
1676,1.55,0.57,2,3761
1677,0.50,1.70,2,3762
1678,0.90,0.90,2,3763
